Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,229400,2016-12-11T11:48:33Z,"""neo mellow"", ""piano rock"", ""pop"", ""pop rock"", ""post-teen pop"", ""viral pop"""
Sun & Moon,Above & Beyond,Acoustic,288026,2016-11-28T05:40:32Z,"""big room"", ""edm"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
Making Plans,Above & Beyond,Acoustic,262426,2016-11-28T05:45:10Z,"""big room"", ""edm"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
Make You Feel My Love,Adele,19,212040,2017-03-06T01:56:44Z,"""dance pop"", ""pop"", ""post-teen pop"""
The Good in Goodbye,Alexander Wren,The Good in Goodbye - EP,253626,2017-02-26T00:39:57Z,"""folk"""
Airplanes & Terminals - acoustic,"Andrew Garcia, G. Seven, & Traphik, Andrew Garcia, G Seven, Traphik",Airplanes & Terminals,249856,2016-11-28T04:56:08Z,"""idol"""
Now or Never,"ATB, JanSoon",Contact,276119,2016-11-28T05:35:21Z,"""edm"", ""eurodance"", ""german techno"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
I Got You,Bebe Rexha,I Got You,191811,2016-12-14T23:36:38Z,"""dance pop"", ""pop"", ""post-teen pop"", ""tropical house"""
Halo,Beyoncé,I AM...SASHA FIERCE,261640,2016-11-26T22:30:18Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"""
Versace On The Floor,Bruno Mars,24K Magic,261240,2016-11-25T21:39:11Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"""
Treasure,Bruno Mars,Unorthodox Jukebox,178560,2016-11-28T04:56:03Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"" "
If I Knew,Bruno Mars,Unorthodox Jukebox,132640,2016-12-14T09:13:08Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"" "
Rhythm Inside,Calum Scott,Rhythm Inside,211716,2017-03-05T22:52:05Z,"""neo mellow"", ""pop"", ""viral pop"""
Does It Feel,Charlie Puth,Nine Track Mind (Deluxe),218666,2016-11-26T22:14:54Z,"""dance pop"", ""pop"", ""post-teen pop"", ""viral pop"""
Dangerously,Charlie Puth,Nine Track Mind (Deluxe),199133,2016-11-26T22:15:06Z,"""dance pop"", ""pop"", ""post-teen pop"", ""viral pop"" "
Losing My Mind,Charlie Puth,Nine Track Mind (Deluxe),212213,2016-11-26T22:27:25Z,"""dance pop"", ""pop"", ""post-teen pop"", ""viral pop"" "
You're Beautiful (Clean Version),Chester See,You're Beautiful (Clean Version),288560,2016-12-14T09:01:02Z,"""channel pop"", ""viral pop"""
3005,Childish Gambino,Because The Internet,234213,2016-11-28T05:21:34Z,"""indie r&b"", ""pop rap"", ""rap"""
Heartbeat,Childish Gambino,Camp,269840,2016-11-28T05:26:06Z,"""indie r&b"", ""pop rap"", ""rap"""
Heartbeat (Ashworth IV Remix),Childish Gambino,Heartbeat (Remix Bundle),311693,2016-11-28T05:31:08Z,"""indie r&b"", ""pop rap"", ""rap"""
Redbone,Childish Gambino,Awaken,326933,2017-01-18T02:13:19Z,"""indie r&b"", ""pop rap"", ""rap"""
She Ain't You,Chris Brown,F.A.M.E. (Deluxe Version),248106,2016-12-19T19:52:24Z,"""dance pop"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""rap"", ""soul christmas"""
Should've Kissed You,Chris Brown,F.A.M.E. (Deluxe Version),264680,2016-12-19T19:52:53Z,"""dance pop"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""rap"", ""soul christmas"""
Take You Down,Chris Brown,Exclusive,245933,2016-12-19T19:54:58Z,"""dance pop"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""rap"", ""soul christmas"""
Beautiful,Christina Aguilera,Stripped,238560,2017-04-03T15:49:53Z,"""dance pop"", ""hip pop"", ""pop"", ""pop christmas"", ""post-teen pop"", ""r&b"", ""urban contemporary"""
A Thousand Years,Christina Perri,A Thousand Years,285120,2016-11-26T22:39:57Z,"""dance pop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""viral pop"""
The Mother We Share,CHVRCHES,The Bones Of What You Believe (Special Edition),190160,2016-11-28T04:56:58Z,"""alternative dance"", ""indie pop"", ""indie poptimism"", ""indietronica"", ""metropopolis"", ""modern rock"", ""pop"", ""shimmer pop"", ""shiver pop"", ""synthpop"", ""tropical house"""
Lover's Thing,"Ciara, The Dream",Fantasy Ride,207933,2017-01-15T07:02:44Z,"""dance pop"", ""deep pop r&b"", ""hip pop"", ""neo soul"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""southern hip hop"", ""urban contemporary"""
Lovers In Japan,Coldplay,Viva La Vida Or Death And All His Friends,411013,2016-11-28T19:02:48Z,"""permanent wave"", ""pop"", ""pop christmas"""
Arizona,Common Souls,Pyramid Lake,292413,2017-03-05T22:52:37Z,"""downtempo"""
Stereo,Courage My Love,Stereo,196066,2016-12-07T05:57:43Z,"""metropopolis"", ""pixie"", ""pop emo"
Is There Anybody Out There? (feat. Clara C),"DANakaDAN, Clara C",Stuntman,243173,2017-02-26T03:22:29Z,"""hip hop"""
Streetcar,Daniel Caesar,Pilgrim's Paradise,246972,2017-04-02T07:39:24Z,"""deep indie r&b"", ""indie r&b"", ""pop rap"""
Middle,"DJ Snake, Bipolar Sunshine",Encore,220573,2017-02-19T05:15:26Z,"""dance pop"", ""edm"", ""electronic trap"", ""pop"", ""tropical house"""
Let Me Love You,"DJ Snake, Justin Bieber",Encore,205946,2017-01-10T02:47:20Z,"""dance pop"", ""edm"", ""electronic trap"", ""pop"", ""tropical house"""
Marvins Room,Drake,Take Care,347226,2016-11-28T05:01:54Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
Fake Love,Drake,Fake Love,207813,2016-12-21T06:21:23Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
"Hold On, We're Going Home","Drake, Majid Jordan",Nothing Was The Same,227880,2016-11-28T05:01:39Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
One Dance,"Drake, WizKid, Kyla",Views,173986,2016-11-28T04:56:29Z,"""canadian pop"", ""hip hop"", ""pop rap"", ""rap"""
Not Going Home,"DVBBS, CMC$, Gia Koka",Beautiful Disaster,194960,2016-12-11T02:51:25Z,"""big room"", ""brostep"", ""deep big room"", ""edm"", ""electro house"", ""progressive electro house"", ""progressive house"", ""tropical house"""
Over You,"Dyrisk, Flyboy",Over You,192156,2017-10-22T01:23:48Z,"""deep tropical house"", ""tropical house"""
Stranger,Earl of Manila,Stranger,295384,2017-04-14T21:52:54Z,"""r&b"", ""soul"""
