?Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Genre
spotify:track:6Vc5wAMmXdKIAM7WUoEb7N,Say Something,"A Great Big World, Christina Aguilera",Is There Anybody Out There?,1,13,229400,spotify:user:jennunyan,2016-12-11T11:48:33Z,"""neo mellow"", ""piano rock"", ""pop"", ""pop rock"", ""post-teen pop"", ""viral pop"""
spotify:track:1kMTaUm7qe4AbpUqVGK3LM,Sun & Moon,Above & Beyond,Acoustic,1,6,288026,spotify:user:jennunyan,2016-11-28T05:40:32Z,"""big room"", ""edm"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
spotify:track:050aqZWCj5e2oDui93Kxq5,Making Plans,Above & Beyond,Acoustic,1,12,262426,spotify:user:jennunyan,2016-11-28T05:45:10Z,"""big room"", ""edm"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
spotify:track:0mqTcM8kuu2IYPotMt7AzS,Make You Feel My Love,Adele,19,1,9,212040,spotify:user:jennunyan,2017-03-06T01:56:44Z,"""dance pop"", ""pop"", ""post-teen pop"""
spotify:track:6S5EBSPLkfcWoqXuhP08r6,The Good in Goodbye,Alexander Wren,The Good in Goodbye - EP,1,2,253626,spotify:user:jennunyan,2017-02-26T00:39:57Z,"""folk"""
spotify:track:19mEPbZWGn8fWbmeMMykvr,Airplanes & Terminals - acoustic,"Andrew Garcia, G. Seven, & Traphik, Andrew Garcia, G Seven, Traphik",Airplanes & Terminals,1,2,249856,spotify:user:jennunyan,2016-11-28T04:56:08Z,"""idol"""
spotify:track:5FvyONGaOY7UcAp9SXITOj,Now or Never,"ATB, JanSoon",Contact,1,7,276119,spotify:user:jennunyan,2016-11-28T05:35:21Z,"""edm"", ""eurodance"", ""german techno"", ""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
spotify:track:1FUViuNSldssMIawrOXF2i,I Got You,Bebe Rexha,I Got You,1,1,191811,spotify:user:jennunyan,2016-12-14T23:36:38Z,"""dance pop"", ""pop"", ""post-teen pop"", ""tropical house"""
spotify:track:4JehYebiI9JE8sR8MisGVb,Halo,Beyoncé,I AM...SASHA FIERCE,1,2,261640,spotify:user:jennunyan,2016-11-26T22:30:18Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"""
spotify:track:0kN8xEmgMW9mh7UmDYHlJP,Versace On The Floor,Bruno Mars,24K Magic,1,5,261240,spotify:user:jennunyan,2016-11-25T21:39:11Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"""
spotify:track:55h7vJchibLdUkxdlX3fK7,Treasure,Bruno Mars,Unorthodox Jukebox,1,4,178560,spotify:user:jennunyan,2016-11-28T04:56:03Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"" "
spotify:track:7lXOqE38eCr979gp27O5wr,If I Knew,Bruno Mars,Unorthodox Jukebox,1,10,132640,spotify:user:jennunyan,2016-12-14T09:13:08Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"" "
spotify:track:4LEMJknfFNWNpiqL8VGVsG,Rhythm Inside,Calum Scott,Rhythm Inside,1,1,211716,spotify:user:jennunyan,2017-03-05T22:52:05Z,"""neo mellow"", ""pop"", ""viral pop"""
