Rock	Piano Rock	Sub-sub genre	A Great Big World	Say Something	145
EDM	Sub-genre	Sub-sub genre	Above & Beyond	Sun & Moon	133
EDM	Sub-genre	Sub-sub genre	Above & Beyond	Making Plans	207
Pop	Dance Pop	Sub-sub genre	Adele	Make You Feel My Love	94
Folk	Sub-genre	Sub-sub genre	Alexander Wren	The Good in Goodbye	20
Pop	Idol	Sub-sub genre	Andrew Garcia	Airplanes & Terminals	290
EDM	Sub-genre	Sub-sub genre	ATB	Now or Never	116
Pop	Dance Pop	Sub-sub genre	Bebe Rexha	I Got You	78
Pop	Dance Pop	Sub-sub genre	Beyonce	Halo	149
Pop	Dance Pop	Sub-sub genre	Bruno Mars	Versace On The Floor	128
Pop	Dance Pop	Sub-sub genre	Bruno Mars	Treasure	196
Pop	Dance Pop	Sub-sub genre	Bruno Mars	If I Knew	69
Pop	Neo Mellow	Sub-sub genre	Calum Scott	Rhythm Inside	27
Pop	Dance Pop	Sub-sub genre	Charlie Puth	Does It Feel	107
Pop	Dance Pop	Sub-sub genre	Charlie Puth	Dangerously	99
Pop	Dance Pop	Sub-sub genre	Charlie Puth	Losing My Mind	109
Pop	Channel Pop	Sub-sub genre	Chester See	You're Beautiful	118
R&B	Indie R&B	Sub-sub genre	Childish Gambino	3005	100
R&B	Indie R&B	Sub-sub genre	Childish Gambino	Redbone	69
R&B	Indie R&B	Sub-sub genre	Childish Gambino	Heartbeat	203
R&B	Indie R&B	Sub-sub genre	Childish Gambino	Heartbeat (Ashworth IV Remix)	96
Pop	Pop Rap	Sub-sub genre	Chris Brown	She Ain't You	251
Pop	Pop Rap	Sub-sub genre	Chris Brown	Should've Kissed You	231
Pop	Pop Rap	Sub-sub genre	Chris Brown	Take You Down	54
Pop	Dance Pop	Sub-sub genre	Christina Aguilera	Beautiful	39
Pop	Dance Pop	Sub-sub genre	Christina Perri	A Thousand Years	431
Alternative	Alternative Dance	Sub-sub genre	CHVRCHES	The Mother We Share	225
Pop	Deep Pop R&B	Sub-sub genre	Ciara	Lover's Thing	44
Alternative	Alternative Rock	Sub-sub genre	Coldplay	Lovers In Japan	140
R&B	Soul	Downtempo	Common Souls	Arizona	17
Pop	Metropopolis	Sub-sub genre	Courage My Love	Stereo	133
Hip Hop	Sub-genre	Sub-sub genre	DANakaDAN	Is There Anybody Out There	23	
R&B	Deep Indie R&B	Sub-sub genre	Daniel Caesar	Streetcar	16
EDM	House	Tropical House	DJ Snake	Middle	49
EDM	House	Tropical House	DJ Snake	Let Me Love You	55
Pop	Pop Rap	Sub-sub genre	Drake	Marvins Room	122
Pop	Pop Rap	Sub-sub genre	Drake	Fake Love	72
Pop	Pop Rap	Sub-sub genre	Drake	Hold On We're Going Home	215
Pop	Pop Rap	Sub-sub genre	Drake	One Dance	114
EDM	Big Room	Sub-sub genre	DVBBS	Not Going Home	92
EDM	House	Tropical House	Dyrisk	Over You	3
R&B	Soul	Sub-sub genre	Earl of Manila	Stranger	17
Pop	Acoustic Pop	Sub-sub genre	Ed Sheeran	Castle on the Hill	39
Pop	Acoustic Pop	Sub-sub genre	Ed Sheeran	Shape of You	46
Pop	Acoustic Pop	Sub-sub genre	Ed Sheeran	Photograph	101
Pop	Acoustic Pop	Sub-sub genre	Ed Sheeran	Thinking Out Loud	112
Pop	Metropopolis	Sub-sub genre	Ellie Goulding	Burn	28
Pop	Metropopolis	Sub-sub genre	Ellie Goulding	Love Me Like You Do	87
Pop	Metropopolis	Sub-sub genre	Ellie Goulding	Lights	21
Pop	Idol	Sub-sub genre	Elliott Yamin	Wait For You	68
Pop	Chinese Pop	Sub-sub genre	Eric Chou	Come Out Your Way	21
Pop	Dance Pop	Sub-sub genre	Fergie	Life Goes On	119
Pop	Dance Pop	Sub-sub genre	Fergie	Big Girls Don't Cry	63
EDM	Aussietronica	Sub-sub genre	Flume	Never Be Like You	38
EDM	House	Tropical House	Flyboy	Iceland	3
EDM	House	Tropical House	Flyboy	Run Away With Me	4
R&B	Indie R&B	Sub-sub genre	Frank Ocean	Thinkin Bout You	119
Pop	Korean Pop	Sub-sub genre	Geeks	Officially Missing You	58
Alternative	Alternative R&B	Sub-sub genre	George Nozuka	Lie To Me	378
Pop	Dance Pop	Sub-sub genre	Glee Cast	Landslide	146
Hip Hop	Sub-genre	Sub-sub genre	Gnash	Left Out	36
Hip Hop	Sub-genre	Sub-sub genre	Gnash	Get Well Soon	36
Hip Hop	Sub-genre	Sub-sub genre	Gnash	Rumours	43
Hip Hop	Sub-genre	Sub-sub genre	Gnash	I Hate U, I Love U	35
Alternative	Alternative Dance	Sub-sub genre	Goldroom	Fifteen	37
Pop	Pop Rock	Sub-sub genre	Hedley	Can't Slow Down	103
Alternative	Alternative R&B	Sub-sub genre	J.Holiday	Suffocate	117
Alternative	Alternative R&B	Sub-sub genre	J.Holiday	Bed	72
Pop	Channel Pop	Sub-sub genre	James TW	Torn	201
Pop	Channel Pop	Sub-sub genre	Jason Chen	Best Friend	242
Pop	Dance Pop	Sub-sub genre	Jeremih	Impatient	42
Hip Hop	Sub-genre	Sub-sub genre	Jessie J	Flashlight	20
Hip Hop	Sub-genre	Sub-sub genre	Jessie J	Domino	19
Hip Hop	Sub-genre	Sub-sub genre	Jessie J	Price Tag	30
R&B	Indie R&B	Sub-sub genre	John Legend	All Of Me	161
R&B	Indie R&B	Sub-sub genre	John Legend	You & I	264
R&B	Indie R&B	Sub-sub genre	John Legend	Love Me Now	73
R&B	Indie R&B	Sub-sub genre	John Legend	For the First Time	18
R&B	Indie R&B	Sub-sub genre	John Legend	Overload	22
R&B	Indie R&B	Sub-sub genre	Jordan Marcotte	Like Wine	13
Pop	Channel Pop	Sub-sub genre	Joseph Vincent	Versace On The Floor (Cover)	68
R&B	Indie R&B	Sub-sub genre	Justin Michael Williams	Here With Me	102
Pop	Dance Pop	Sub-sub genre	Keri Hilson	Energy	51
Pop	Dance Pop	Sub-sub genre	Kiana Valenciano	Circles	27
Pop	Dance Pop	Sub-sub genre	Kiana Valenciano	Does She Know	18
Pop	Chinese Pop	Sub-sub genre	Kris Wu	JULY	6
EDM	House	Tropical House	Kygo	It Ain't Me	14
EDM	House	Progressive House	Myon & Shane 54	Summer of Love	24
Pop	Dance Pop	Sub-sub genre	Leona Lewis	Bleeding Love	224
Pop	Dance Pop	Sub-sub genre	Leona Lewis	Better In Time	528
Pop	Dance Pop	Sub-sub genre	Leona Lewis	My Hands	39
R&B	Soul	Sub-sub genre	Lukas Graham	You're Not There	50
R&B	Soul	Sub-sub genre	Lukas Graham	What Happened To Perfect	46
Hip Hop	Sub-genre	Sub-sub genre	Mac Miller	Someone Like You	101
Hip Hop	Sub-genre	Sub-sub genre	Mac Miller	Cinderella	60
Alternative	Alternative Dance	Sub-sub genre	Madeon	La Lune	75
Alternative	Alternative Dance	Sub-sub genre	Madeon	Pay No Mind	99
Pop	Pop Punk	Sub-sub genre	Marianas Trench	Who Do You Love	85
Pop	Pop Punk	Sub-sub genre	Marianas Trench	One Love	99
Pop	Pop Punk	Sub-sub genre	Marianas Trench	Forget Me Not	93
Pop	Dance Pop	Sub-sub genre	Matthew Koma	One Night	95
Pop	Post-Teen Pop	Sub-sub genre	MAX	Lights Down Low	383
Pop	Indie Poptimism	Sub-sub genre	Michl	When You Loved Me Least	68
Pop	Indie Poptimism	Sub-sub genre	Michl	Die Trying	52
Pop	Indie Poptimism	Sub-sub genre	Michl	Broken Roots	49
Pop	Indie Poptimism	Sub-sub genre	Michl	Tell Me The Same	51
Pop	Indie Poptimism	Sub-sub genre	Michl	Kill Our Way To Heaven	47
Pop	Post-Teen Pop	Sub-sub genre	Mike Posner	I Took A Pill In Ibiza	72
Pop	Post-Teen Pop	Sub-sub genre	Mike Posner	Not That Simple	69
Pop	Post-Teen Pop	Sub-sub genre	Mike Posner	Buried In Detroit	75
Pop	Post-Teen Pop	Sub-sub genre	Mike Posner	Silence	69
EDM	Aussietronica	Sub-sub genre	MTNS	Salvage	111
EDM	House	Tropical House	NEIKED	Sexual	125
Alternative	Alternative Pop Rock	Sub-sub genre	New Heights	Peaches	84
Pop	Dance Pop	Sub-sub genre	Nick Jonas	Jealous	48
Pop	Dance Pop	Sub-sub genre	Nick Jonas	Close	51
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	Heartache	174
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	All Mine	218
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	Wherever You Are	143
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	Last Dance	251
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	The Same As...	110
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	C.h.a.o.s.m.y.t.h.	24
Rock	Japanese Rock	Sub-sub genre	ONE OK ROCK	Take What You Want	25
Pop	Dance Pop	Sub-sub genre	One Republic	Kids	81
Folk	Indie Folk	Sub-sub genre	Passenger	Let Her Go	56
Alternative	Alternative Dance	Sub-sub genre	Passion Pit	Lifted Up	91
Pop	Dance Pop	Sub-sub genre	Pia Mia	We Should Be Together	75
EDM	Big Room	Sub-sub genre	Porter Robinson	Shelter	139
EDM	House	Deep House	Robin Schulz	Shed A Light	49
Pop	Dance Pop	Sub-sub genre	Sam Smith	Latch - Acoustic	102
Pop	Dance Pop	Sub-sub genre	Sam Smith	Restart	139
Pop	Dance Pop	Sub-sub genre	Sam Smith	Lay Me Down	251
Pop	Dance Pop	Sub-sub genre	Sam Smith	I'm Not The Only One	134
Pop	Dance Pop	Sub-sub genre	Sam Smith	Nirvana	106
Pop	Acoustic Pop	Sub-sub genre	Sara Bareilles	Gravity	351
Pop	Acoustic Pop	Sub-sub genre	Sara Bareilles	Love Song	2084
Pop	Dance Pop	Sub-sub genre	Selena Gomez	Sober	126
Acappella	Sub-genre	Sub-sub genre	SoCal VoCals	Lay Me Down in Paper Hearts	21
Pop	Dance Pop	Sub-sub genre	SoMo	Ride	172
Pop	Dance Pop	Sub-sub genre	Sound	I Know You Like Me	41
EDM	House	Tropical House	Starley	Call On Me	42
Pop	Acoustic Pop	Sub-sub genre	Tenderfoot	Chasing The Rain	14
Rock	Modern Rock	Sub-sub genre	The 1975	Somebody Else	148
Rock	Modern Rock	Sub-sub genre	The 1975	The Sound	144
Rock	Modern Rock	Sub-sub genre	The 1975	Chocolate	175
Rock	Modern Rock	Sub-sub genre	The 1975	Settle Down	103
Rock	Modern Rock	Sub-sub genre	The 1975	Robbers	124
Rock	Modern Rock	Sub-sub genre	The 1975	Girls	106
Rock	Modern Rock	Sub-sub genre	The 1975	Pressure	103
Rock	Modern Rock	Sub-sub genre	The 1975	The City	102
EDM	Sub-genre	Sub-sub genre	The Chainsmokers	Paris	47
EDM	Sub-genre	Sub-sub genre	The Chainsmokers	Something Like This	15
Alternative	Alternative Rock	Sub-sub genre	The Killers	Mr.Brightside	288
Alternative	Alternative Rock	Sub-sub genre	The Strokes	What Ever Happened?	1176
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	Can't Feel My Face	94
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	In The Night	108
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	House Of Balloons	153
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	The Morning	409
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	Wicked Games	441
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	High For This	93
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	Ordinary Life	149
Alternative	Alternative R&B	Sub-sub genre	The Weeknd	Love To Lay	45
R&B	Soul	Downtempo	The XX	On Hold	100
Rock	Modern Rock	Sub-sub genre	Thirty Seconds To Mars	City Of Angels	100
Pop	Channel Pop	Sub-sub genre	Travis Atreo	We Don't Talk Anymore	6
Pop	Channel Pop	Sub-sub genre	Travis Atreo	Heartbreaker	3
Pop	Dance Pop	Sub-sub genre	Trey Songz	Simply Amazing	109
Pop	Dance Pop	Sub-sub genre	Trey Songz	Neighbours Know My Name	77
Pop	Indie Poptimism	Sub-sub genre	Virginia To Vegas	Find Me	97
Rock	Modern Rock	Sub-sub genre	We The Kings	Sad Song	21
Pop	Deep Pop R&B	Sub-sub genre	Z. Woods, David So	Eyes Nose Lips	31
Pop	Dance Pop	Sub-sub genre	ZAYN, Taylor Swift	I Don't Wanna Live Forever	93
